,source,target,Znum_x,Xnum_x,Znum_y,Xnum_y,commute,weight
240,IIIIZZ,IYZYZI,3,0,30,20,True,0.6666666666666666
241,IIIIZZ,XZZYYX,3,0,30,39,True,1.0
242,IIIIZZ,YXIIXY,3,0,33,51,True,1.0
243,IIIIZZ,YXXYII,3,0,36,60,True,1.0
244,IIIIZZ,YYIIXX,3,0,48,51,True,1.0
245,IIIIZZ,YYXXII,3,0,48,60,True,1.0
246,IIIIZZ,YZZXXY,3,0,57,39,True,1.0
247,IIIIZZ,YZYIIZ,3,0,57,40,True,0.6666666666666666
248,IIIIZZ,YZZIYI,3,0,58,34,False,0.6666666666666666
249,IIIIZZ,YZYXZX,3,0,58,45,False,1.0
250,IIIIZZ,YZZYXX,3,0,60,39,True,1.0
251,IIIIZZ,YZYZII,3,0,60,40,True,0.6666666666666666
252,IIIIZZ,YZZZYZ,3,0,63,34,False,0.6666666666666666
253,IIIIZZ,YZYYZY,3,0,63,45,False,1.3333333333333333
254,IIIZII,IIIZIZ,4,0,5,0,True,0.0
255,IIIZII,IIIZZI,4,0,6,0,True,0.0
256,IIIZII,IIZIII,4,0,8,0,True,0.0
257,IIIZII,IIZIIZ,4,0,9,0,True,0.0
258,IIIZII,IIZIZI,4,0,10,0,True,0.0
259,IIIZII,IIZZII,4,0,12,0,True,0.0
260,IIIZII,IZIIII,4,0,16,0,True,0.0
261,IIIZII,IZIIIZ,4,0,17,0,True,0.0
262,IIIZII,IZIIZI,4,0,18,0,True,0.0
263,IIIZII,IZIZII,4,0,20,0,True,0.0
264,IIIZII,IZZIII,4,0,24,0,True,0.0
265,IIIZII,ZIIIII,4,0,32,0,True,0.0
266,IIIZII,ZIIIIZ,4,0,33,0,True,0.0
267,IIIZII,ZIIIZI,4,0,34,0,True,0.0
268,IIIZII,ZIIZII,4,0,36,0,True,0.0
269,IIIZII,ZIZIII,4,0,40,0,True,0.0
270,IIIZII,ZZIIII,4,0,48,0,True,0.0
271,IIIZII,IXIXII,4,0,0,20,False,0.3333333333333333
272,IIIZII,IXXIXX,4,0,0,27,True,0.6666666666666666
273,IIIZII,IIXXYY,4,0,3,15,False,1.0
274,IIIZII,XXIIYY,4,0,3,51,True,1.0
275,IIIZII,IIXYYX,4,0,6,15,False,1.0
276,IIIZII,IXIZZX,4,0,6,17,True,0.3333333333333333
277,IIIZII,IXXYYI,4,0,6,30,False,1.0
278,IIIZII,IIYXXY,4,0,9,15,False,1.0
279,IIIZII,IXZXZI,4,0,10,20,False,0.3333333333333333
280,IIIZII,IXYIYX,4,0,10,27,True,1.0
281,IIIZII,IIYYXX,4,0,12,15,False,1.0
282,IIIZII,IXZZIX,4,0,12,17,True,0.3333333333333333
283,IIIZII,IXYYXI,4,0,12,30,False,1.0
284,IIIZII,XXYYII,4,0,12,60,False,1.0
285,IIIZII,IYXIXY,4,0,17,27,True,1.0
286,IIIZII,XZXIIZ,4,0,17,40,True,0.3333333333333333
287,IIIZII,IYXXYI,4,0,18,30,False,1.0
288,IIIZII,XZXXZX,4,0,18,45,False,0.6666666666666666
289,IIIZII,XYIIYX,4,0,18,51,True,1.0
290,IIIZII,IYIYII,4,0,20,20,False,0.6666666666666666
291,IIIZII,XZXZII,4,0,20,40,True,0.3333333333333333
292,IIIZII,IYIZZY,4,0,23,17,True,0.6666666666666666
293,IIIZII,XZXYZY,4,0,23,45,False,1.0
294,IIIZII,IYYXXI,4,0,24,30,False,1.0
