,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
551,454,ZIYZZZZZZZYI,2,ZIZZZZZZZZZI,IIXIIIIIIIXI,3070,514,218,41
552,511,ZXZZZZZZZZZX,2,ZIZZZZZZZZZI,IXIIIIIIIIIX,3070,1025,218,53
553,554,YIZZZZZZZZYI,2,ZIZZZZZZZZZI,XIIIIIIIIIXI,3070,2050,218,66
554,218,YYIIIIIIIIXX,2,ZZIIIIIIIIII,XXIIIIIIIIXX,3072,3075,78,17
555,234,YYIIIIIIXXII,2,ZZIIIIIIIIII,XXIIIIIIXXII,3072,3084,78,21
556,246,YYIIIIXXIIII,2,ZZIIIIIIIIII,XXIIIIXXIIII,3072,3120,78,26
557,254,YYIIXXIIIIII,2,ZZIIIIIIIIII,XXIIXXIIIIII,3072,3264,78,38
558,318,YYXXIIIIIIII,2,ZZIIIIIIIIII,XXXXIIIIIIII,3072,3840,78,61
559,576,YZXIXZZZZZYI,2,ZZIIIZZZZZZI,XIXIXIIIIIXI,3198,2690,219,69
560,382,YYIIIYZZZZYI,2,ZZIIIZZZZZZI,XXIIIXIIIIXI,3198,3138,219,30
561,466,YYIIXZZZZZZX,2,ZZIIIZZZZZZI,XXIIXIIIIIIX,3198,3201,219,44
562,305,YZIZYIIIIIII,2,ZZIZZIIIIIII,XIIIXIIIIIII,3456,2176,220,60
563,198,YYIYYIIIIIII,2,ZZIZZIIIIIII,XXIXXIIIIIII,3456,3456,220,12
564,534,YYXZZXIIIIII,2,ZZIZZIIIIIII,XXXIIXIIIIII,3456,3648,220,63
565,555,YZIZZZZZZZYI,2,ZZIZZZZZZZZI,XIIIIIIIIIXI,3582,2050,221,66
566,458,YYIYZZZZZZYI,2,ZZIZZZZZZZZI,XXIXIIIIIIXI,3582,3330,221,42
567,568,YYXZZZZZZZZX,2,ZZIZZZZZZZZI,XXXIIIIIIIIX,3582,3585,221,67
568,185,YZYIIIIIIIII,2,ZZZIIIIIIIII,XIXIIIIIIIII,3584,2560,222,11
569,585,YZZXIIIIIIXY,2,ZZZIIIIIIIIZ,XIIXIIIIIIXX,3585,2307,223,72
570,186,YZYIIIIIIIIZ,2,ZZZIIIIIIIIZ,XIXIIIIIIIII,3585,2560,223,11
571,187,YZYIIIIIIIZI,2,ZZZIIIIIIIZI,XIXIIIIIIIII,3586,2560,224,11
572,589,YZZXIIIIXYII,2,ZZZIIIIIIZII,XIIXIIIIXXII,3588,2316,225,73
573,188,YZYIIIIIIZII,2,ZZZIIIIIIZII,XIXIIIIIIIII,3588,2560,225,11
574,189,YZYIIIIIZIII,2,ZZZIIIIIZIII,XIXIIIIIIIII,3592,2560,226,11
575,593,YZZXIIXYIIII,2,ZZZIIIIZIIII,XIIXIIXXIIII,3600,2352,227,74
576,190,YZYIIIIZIIII,2,ZZZIIIIZIIII,XIXIIIIIIIII,3600,2560,227,11
577,191,YZYIIIZIIIII,2,ZZZIIIZIIIII,XIXIIIIIIIII,3616,2560,228,11
578,597,YZZXIXZZZZYI,2,ZZZIIIZZZZZI,XIIXIXIIIIXI,3646,2370,229,75
579,571,YZYIIXZZZZZX,2,ZZZIIIZZZZZI,XIXIIXIIIIIX,3646,2625,229,68
580,601,YZZXXYIIIIII,2,ZZZIIZIIIIII,XIIXXXIIIIII,3648,2496,230,76
581,192,YZYIIZIIIIII,2,ZZZIIZIIIIII,XIXIIIIIIIII,3648,2560,230,11
582,577,YZYIXZZZZZXI,2,ZZZIIZZZZZII,XIXIXIIIIIXI,3708,2690,231,69
583,605,YZZXXZZZZZZY,2,ZZZIIZZZZZZZ,XIIXXIIIIIIX,3711,2433,232,77
584,572,YZYIIYZZZZZY,2,ZZZIIZZZZZZZ,XIXIIXIIIIIX,3711,2625,232,68
585,306,YZZIYIIIIIII,2,ZZZIZIIIIIII,XIIIXIIIIIII,3712,2176,233,60
586,193,YZYIZIIIIIII,2,ZZZIZIIIIIII,XIXIIIIIIIII,3712,2560,233,11
587,321,YZYXZXIIIIII,2,ZZZIZIIIIIII,XIXXIXIIIIII,3712,2880,233,70
